8846,0.000117836,4,"[[8437, 0.98305217917077437], [4932, 0.97977113188819043], [6872, 0.97908176786991763], [4768, 0.9779334289040027], [7170, 0.97724752499920375], [4761, 0.97724752499920364], [9033, 0.97647215296157175], [5333, 0.97621379508067407], [8477, 0.97601737630147756], [8605, 0.97583888117711226]]"
8847,0.000117836,15,"[[6963, 0.9088666566737984], [9312, 0.90882451492898808], [2096, 0.90555189572541928], [2312, 0.90417007897371005], [3538, 0.90094278545109185], [9174, 0.90091225918894546], [6314, 0.89629701143589136], [7377, 0.89523828751383228], [6522, 0.89315600481237822], [2927, 0.88907584220356861]]"
8848,0.0000652,N/A,"[[371, 0.97960747861347774], [5486, 0.97898652693556643], [771, 0.9616901394487436], [1364, 0.96070259356966836], [7804, 0.96039673437246165], [2425, 0.95896327673564552], [2556, 0.95883548543965746], [392, 0.95756473490959626], [1497, 0.95715680973869532], [984, 0.95586860543228169]]"
8849,0.0000652,3,"[[5647, 0.93127906608814837], [6688, 0.89775303540128093], [3837, 0.89150148331708823], [2947, 0.88037011322108194], [5523, 0.88025704222919865], [7202, 0.87937190837887935], [8065, 0.87811818944333242], [9238, 0.87796320035884767], [951, 0.87720019687660866], [7961, 0.87707902881938993]]"
8850,0.0000315,19,"[[6589, 0.9782553339937734], [6325, 0.97236727225040998], [8800, 0.97051197034520253], [4055, 0.9704289160227203], [6558, 0.96818203824853599], [8017, 0.95768240229422674], [4878, 0.95725724025437131], [7501, 0.95665153593916108], [4585, 0.95598482295237863], [8830, 0.95526259632708188]]"
8851,0.0000705,1,"[[5196, 0.9664716251928992], [3459, 0.96579065106334594], [6393, 0.9628964790642297], [5013, 0.96264647167208484], [2678, 0.95929341356558806], [5498, 0.95892609416574892], [9341, 0.95871093820925479], [9153, 0.95097622346077948], [7150, 0.94589193769175706], [2608, 0.94584990242910427]]"
8852,0.0000705,14,"[[8875, 0.9869047973787316], [5035, 0.97153463912408788], [5178, 0.97027309019368002], [7492, 0.96271921908185565], [2937, 0.95578608754447769], [6474, 0.95512654586278611], [2025, 0.95474563907624432], [5171, 0.95072864840779625], [4533, 0.94976137135354122], [3034, 0.94905318658411997]]"
8853,0.0000539,5,"[[6956, 0.98135043677070533], [3769, 0.96755718752959896], [1926, 0.96111844001777935], [8233, 0.95993016982047463], [3563, 0.95753239778336574], [7686, 0.95150731697679991], [6927, 0.94929267663674521], [6764, 0.94719335531363502], [6762, 0.94290355546215565], [2304, 0.94192759729954689]]"
8854,0.000100364,5,"[[9073, 0.99650172882454979], [2133, 0.99382454392214548], [8786, 0.99354364721195543], [7078, 0.99260326080703476], [2874, 0.99232503793830618], [4057, 0.99165081139522204], [2141, 0.99137225285475827], [7600, 0.99074549395997247], [2937, 0.99016476276357512], [3656, 0.99001652317944078]]"
8855,0.0000819,3,"[[847, 0.99981358119994557], [5673, 0.99969436774898623], [2963, 0.99957184535033439], [259, 0.99953554821640922], [2042, 0.99950091770568217], [8462, 0.99949897612799654], [1665, 0.99947977246289721], [2314, 0.99947466833007181], [5656, 0.99946998356817629], [4710, 0.99942420859118519]]"
